-111.4,44.454,McCrea Bridge,NF,208.558.7301/208.557.5760,mid may-mid sep, ,23,6335,NH ND 40ft VT DW NS RS ,ID,2.5,NW,Island Park,,
-116.948,47.069,McCroskey State Park,SP,208.686.1308, ,sites dispersed along 18 mile unimproved rough road,9,3993,VT DW NR N$ ,ID,4.7,E,Farmington,,
-114.296,45.034,Mcdonald Flat,NF,208.756.5100/208.756.5100, , ,8,5453,NH ND NS NR ,ID,36.7,N ,Challis,,
-113.566,44.802,McFarland Recreation Site,BLM,208.756.5400, ,unknown facil, ,5400,NH ND NS NR ,ID,13.3,NW,Leadore,,
-116.728,46.499,McKays Bend,BLM, , , ,15, ,WES DP FT DW SH NR ,ID,14.7,NE,Lewiston,,
-116.146,48.819,Meadow Creek,NF,208.267.5561/208.765.7223, , ,22,2323,NH ND 22ft PT DW NS NR ,ID,11.8,NE,Bonners Ferry,,
-113.317,44.434,Meadow Lake,NF,208.768.2500/208.756.5100, , ,33,9163,NH ND NS NR ,ID,17.1,S ,Leadore,,
-111.07,43.557,Mike Harris,NF,208.354.2312/208.557.5760,mid may-mid sep, ,12,6581,NH ND 40ft VT DW NS RS L$ ,ID,3.8,SE,Victor,,
-111.363,42.81,Mill Canyon,NF,208.547.4356/208.557.5760,mid may-mid sep, ,10,6647,NH ND 40ft VT NW NS NR ,ID,16.3,NE,Soda Springs,,
-114.44,44.472,Mill Creek,NF,208.879.4100/208.756.5100, , ,12,7572,NH NR ,ID,10.5,W,Challis,,
-113.039,42.43,Mill Flat,NF,208.678.0430/208.737.3200, , ,20,5988,NH ND NS NR ,ID,18.9,NE,Malta,,
-116.664,47.784,Mokins Bay,NF,/208.765.7223, , ,16,2270,NH ND 22ft VT DW NS NR ,ID,9.1,NE,Coeur dAlene,,
-116.327,43.92,Montour,BOR, , , ,18,2531,NH DP VT DW NS NR L$ ,ID,0.4,S ,Montour,,
-111.231,42.331,Montpelier Canyon,NF,208.847.0375/208.557.5760,mid may-mid sep, ,13,6250,NH ND 35ft VT NW NS RS PA L$ ,ID,3.5,E,Montpelier,,
-116.419,46.875,Moose Creek,NF, , , , ,2929,NH ND NS NR ,ID,8.3,NE,Deary,,
-116.42,46.874,Moose Creek Reservoir Access - IFG,SFW, , ,swimming,24,2908,NH ND VT DW NS NR PA L$ ,ID,1.6,NW,Bovill,,
-113.896,45.233,Morgan Bar,BLM, , , ,8,3826,NH NR ,ID,0.7,S ,Carmen,,
-114.23,44.668,Morgan Creek,BLM, ,mid may-mid oct, ,4,5543,NH ND VT DW NS NR N$ ,ID,11.3,N,Challis,,
-111.928,43.059,Morgans Bridge,BLM, , , ,5,5750,NH ND NS NR ,ID,32.4,NW,Soda Springs,,
-114.841,44.262,Mormon Bend,NF,208.727.5000/208.737.3200, , ,17,6109,NH ND NS NR ,ID,5.7,NE,Stanley,,
-114.433,44.518,Mosquito Flat Reservoir,NF,208.879.4100/208.756.5100, , ,18,7014,NH ND NS NR ,ID,10,W,Challis,,
-114.915,44.135,Mount Heyburn,NF,208.727.5000/208.737.3200, , ,23,6601,NH DP NS NR ,ID,5.7,S ,Stanley,,
-115.896,43.072,Mountain Home AFB Military,MIL,208.828.6333, ,military only - do not use our lat/lon - contact them for directions and info, ,3018,RS ,ID,11.1,W,Mountain Home,,
-115.603,44.079,Mountain View,NF,208.259.3361/208.373.4100, , ,14,3848,NH ND 50ft VT NW NS NR ,ID,0.8,E,Lowman,,
-114.905,44.162,Mountain View,NF,208.727.5000/208.737.3200,all year, ,9,6519,NH DP DW SH RS ,ID,4.1,SE,Stanley,,
-114.419,43.804,Murdock,NF,208.727.5000/208.737.3200, , ,15,6381,NH DP NS NR ,ID,8.9,N ,Ketchum,,
-114.169,42.462,Murtaugh Lake RV Park,CP, , , , ,4131,E ND NS ,ID,2.1,S ,Murtaugh,,
-114.377,43.266,Myrtle Point  - Magic Reservoir,BLM, , , , ,4801,NH ND VT NW NS NR ,ID,21.6,E,Fairfield,,
-116.909,48.795,Navigation,NF,208.443.2512/208.765.7223, , ,5,2480,NH ND VT NW NS NR ,ID,42.4,N ,Priest River,,
-115.568,43.756,Neinmeyer,NF,208.392.6681/208.373.4100, , ,8,3780,NH ND VT DW NS NR ,ID,22.3,W,Atlanta,,
-115.629,45.895,Newsome,NF,208.942.0307/208.476.8273, , ,6,3995,NH ND NS NR ,ID,10.4,NW,Elk City,,
-115.366,46.685,Noe Creek,NF,208.476.8223/208.476.8273, , ,7,2566,NH ND NS NR ,ID,24.5,NE,Pierce,,
-115.971,42.96,North - C. J. Strike Area,UTIL, , , ,25,2493,NH ND NS ,ID,10.2,NW,Bruneau,,
-114.425,43.788,North Fork,NF,208.727.5000/208.737.3200,early jun-late aug, ,32,6247,NH ND 16ft NS RS ,ID,8,N ,Ketchum,,
-111.533,42.096,North Fork Overflow,NF,208.847.0375/208.557.5760,mid may-mid sep, ,10,6962,NH ND NW NS NR N$ ,ID,15.7,SW,Bear Lake,,
-116.981,42.591,North Fork Owyhee,BLM, , , ,7,4841,NH ND NS NR N$ ,ID,22.4,SW,Triangle,,
-116.12,45.639,North Fork Slate Creek,NF,208.839.2211/208.983.1950, , ,5,3734,NR ,ID,12.2,SE,White Bird,,
-114.866,43.919,North Shore Alturas,NF,208.727.5000/208.737.3200, , ,23,7064,NH ND NS NR ,ID,20.9,S ,Stanley,,
-116.303,45.626,North Slate Creek,BLM, , , ,6,1596,NH DP 26ft VT DW NS NR L$ ,ID,9.3,S ,White Bird,,
-113.882,42.238,Oakley  City RV Park,CP, ,early may-late sep, ,17,4587,WES DP FTVT DW SH RS ,ID,0.4,S ,Oakley,,
-115.51,46.085,Ohara Bar,NF,/208.983.1950,mid may-mid sep, ,32,2615,NH ND NS RS ,ID,5.8,SE,Lowell,,
-115.547,45.698,Orogrande (1-4),NF,208.842.2245/208.983.1950, , ,9,5200,NH ND NS NR ,ID,,,,,
-115.615,45.64,Orogrande Summit,NF,208.842.2245/208.983.1950, , ,5,7621,NH ND NS NR ,ID,,,,,
-116.888,48.506,Osprey,NF,208.443.2512/208.765.7223,early jun-late aug, ,16,2559,NH ND 20ft VT DW NS RS ,ID,22.5,N,Priest River,,
-116.892,48.499,Outlet,NF,208.443.2512/208.765.7223,mid may-mid sep, ,31,2487,NH ND 22ft VT DW NS RS ,ID,9.6,S ,Nordman,,
-111.215,43.397,Palisades Creek,NF,208.523.1412/208.557.5760, , ,8,5587,NH ND VT DW NS NR ,ID,4.3,E,Irwin,,
-114.738,45.861,Paradise,NF,406.821.3269/406.363.7121, , ,8,3097,NH ND NS NR ,ID,29.3,W,DarbyMT,,
-111.494,42.207,Paris Springs,NF,208.847.0375/208.557.5760,mid may-late oct, ,7,6535,NH ND VT DW NS RS PA ,ID,4.9,W,Paris,,
-115.58,44.117,Park Creek,NF,208.259.3361/208.373.4100, , ,26,4390,NH ND 60ft VT NW NS NR ,ID,3.1,NE,Lowman,,
-114.258,43.836,Park Creek,NF,208.588.3400/208.756.5100,all year, ,13,7690,NH ND NS RS ,ID,11.9,NE,Ketchum,,
-116.934,43.781,Parma City Park - Old Fort Boise,CP,208.722.5139, ,unknown facilities, , ,E DP L$ ,ID,,,Parma,,
-116.149,46.784,Partridge Creek Camp,NF,208.875.1701/208.476.8273, , ,6,2986,NH ND NS NR ,ID,1.5,E,Elk River,,
-115.526,44.626,Pen Basin,NF,208.382.7400/208.373.4100, , ,6,6696,NH ND 30ft VT DW NS NR ,ID,2.3,SE,Landmark,,
-114.281,42.183,Pettit,NF,208.678.0430/208.737.3200, , ,11,6890,NH ND NS NR ,ID,16.2,E,Rogerson,,
-114.866,43.982,Pettit Lake,NF,208.727.5000/208.737.3200, , ,20,8343,NH ND NS NR ,ID,16.6,S ,Stanley,,
-114.218,43.859,Phi Kappa,NF,208.588.3400/208.756.5100, , ,21,7454,NH ND NS NR ,ID,14.3,NE,Ketchum,,
-115.668,44.654,Picnic Point,NF,208.382.7400/208.373.4100, , ,8,5351,NH ND VT NW NS NR ,ID,20.7,NE,Cascade,,
-111.208,42.972,Pine Bar,NF,208.547.4356/208.557.5760, , ,6,6325,NH ND VT NW NS NR N$ ,ID,,,,,
-116.352,45.894,Pine Bar,BLM, , , ,7, ,NH ND VT DW NS NR ,ID,10.6,S ,Cottonwood,,
-111.207,43.573,Pine Creek,NF,208.354.2312/208.557.5760,mid may-mid sep, ,10,6594,NH ND 40ft VT NW NS NR L$ ,ID,5.2,SW,Victor,,
-115.682,44.064,Pine Flats,NF,208.259.3361/208.373.4100,all year, ,24,3743,NH ND 60ft VT DW NS RS ,ID,3.4,W,Lowman,,
-114.831,43.489,Pioneer,NF,208.727.5020/208.737.3200, , ,13,5860,NH ND NS NR ,ID,10,N ,Fairfield,,
-112.9,42.741,Pipeline,BLM, , , ,8,4230,NH ND 17ft VT NS NR N$ ,ID,3.9,SW,American Falls,,
-116.478,45.635,Pittsburg,NF,541.426.4978/541.523.6391, , ,34, ,NH ND NS NR ,ID,12.2,SW,White Bird,,
-116.478,45.636,Pittsburg Landing  - Hells Canyon National Rec Area,NF,541.426.4978/541.523.6391, ,steep road,28, ,VT DW NR ,ID,12.2,SW,White Bird,,
-115.034,45.723,Poet Creek,NF,208.842.2245/208.983.1950, , ,5,5007,NH ND NS NR ,ID,23.7,NE,Dixie,,
-114.925,44.139,Point,NF,208.727.5000/208.737.3200,early jun-mid sep,No RVs,19,6926,NH ND NS RS ,ID,5.4,S ,Stanley,,
-111.289,44.261,Pole Bridge,NF,208-652-7442, , , ,6050,NH NR ,ID,,,,,
-114.719,44.304,Pole Flat C/G,NF,208.879.4100/208.756.5100, , ,14,6178,NH ND NS NR ,ID,16,W,Clayton,,
-115.76,45.062,Ponderosa,NF,208.634.0600/208.634.0700, , ,10,4052,NH ND NS NR ,ID,40.1,N,Cascade,,
-116.084,44.93,Ponderosa State Park,SP,208.634.2164,all year, , ,5148,WES DP SH RS ,ID,1.5,NE,McCall,,
-111.518,42.095,Porcupine,NF,208.847.0375/208.557.5760,mid may-mid sep, ,13,6772,NH ND FTVT DW NS RS L$ ,ID,6.8,W,St. Charles,,
-116.185,48.244,Porcupine Lake,NF,208.263.5111/208.765.7223, , ,5,4846,NH ND PT NW NS NR ,ID,6.8,N ,Clark Fork,,
-114.262,42.166,Porcupine Springs Family,NF,208.678.0430/208.737.3200,early jun-late aug, ,18,6929,NH ND VT DW NS RS ,ID,35,SW,Burley,,
-115.704,44.823,Poverty Flat,NF,208.634.0600/208.634.0700, , ,13,4232,NH ND NS NR ,ID,26.9,NE,Cascade,,
-114.721,46.512,Powell,NF,208.942.0307/208.476.8273,early jun-late aug, ,42,3428,E ND NS RS ,ID,48.9,NE,Lowell,,
-115.104,43.815,Power Plant,NF,208.392.6681/208.373.4100, ,Very rough road - RV not recommended,24,5453,NH ND VT DW NS NR ,ID,31.5,SE,Lowman,,
-116.83,48.745,Priest Lake State Park,SP,208.443.2200,all year,2 campgrounds, ,2605,WES RS ,ID,18.3,N,Coolin,,
-116.832,48.611,Priest Lake State Park,SP,208.443.2200,all year, , ,2500,WES RS ,ID,9.1,N,Coolin,,
-116.901,48.452,Priest Lake State Park,SP,208.443.2200,all year, , ,2375,WES RS ,ID,18.7,N,Priest River,,
-116.89,48.179,Priest River Park,COE,208.437.3133,mid may-late aug, , ,2067,NH DP SH RS PA ,ID,0.9,E,Priest River,,
-115.21,43.821,Queens River,NF,208.392.6681/208.373.4100, , ,4,5000,NR ,ID,31.1,E,Idaho City,,
-115.295,46.046,Race Track,NF,/208.983.1950, , ,13,1816,NH ND NS NR ,ID,15.9,SE,Lowell,,
-115.494,46.085,Rackliff,NF,/208.983.1950, , ,6,1873,NH ND NS NR ,ID,6.3,SE,Lowell,,
-116.132,44.704,Rainbow Point,NF,208.382.7400/208.373.4100,mid may-mid sep, ,12,4895,NH ND 40ft VT NW NS RS L$ ,ID,3.2,SW,Donnelly,,
-115.88,44.266,Rattlesnake,NF,208.365.7000/208.373.4100,early jun-late aug, ,11,3652,NH ND 30ft VT DW NS RS ,ID,11.4,NE,Crouch,,
-115.272,45.749,Red River,NF,208.842.2245/208.983.1950, , ,40,4997,NH ND NW NS NR N$ ,ID,9.6,SE,Elk City,,
-114.911,44.143,Redfish Outlet,NF,208.774.3000, , , ,6581,NH DP 22ft NS NR ,ID,5.3,S ,Stanley,,
-111.731,42.285,Redpoint,BLM,208.478.6340, ,may be closed - check,10,4909,NH ND 20ft VT NS NR L$ ,ID,15,NE,Preston,,
-116.891,48.625,Reeder Bay,NF,208.443.2512/208.765.7223,mid may-mid sep, ,24,2533,NH ND 50ft VT DW NS RS ,ID,30.7,N,Priest River,,
-113.454,45.121,Reservoir Lake,NF,208.768.2500/208.756.5100, , ,16,7000,NH ND VT DW NS NR ,ID,,,,,
-116.771,48.16,Riley Creek,COE,208.437.3133,mid may-mid sep, , ,2103,E DP SH RS PA ,ID,1,SW,Laclede,,
-116.018,46.23,Riverfront Park - Kamiah,CP, , , ,12, ,E 40ft N$ ,ID,0.6,E,Kamiah,,
-111.455,44.263,Riverside,NF,208.558.7301/208.557.5760,mid may-mid sep, ,32,6099,NH ND 45ft VT DW NS RS L$ ,ID,13.2,N ,Ashton,,
-114.849,44.267,Riverside,NF,208.727.5000/208.737.3200, , ,17,6138,NH ND NS NR ,ID,5.6,NE,Stanley,,
-115.13,43.809,Riverside,NF,208.392.6681/208.373.4100, , ,11,5295,NH ND VT DW NS NR ,ID,,,,,
-115.658,44.341,Riverside,NF,208.259.3361/208.373.4100,early jul-late oct, ,8,5300,NH ND NS RS ,ID,18.1,N ,Lowman,,
-111.204,43.339,Riverside Park,NF,208.523.1412/208.557.5760, , ,22,5400,E DP 30ft VT DW NS NR ,ID,6.8,SE,Irwin,,
-116.907,46.754,Robinson County Park,CP, , , ,10,2721,E ND VT DW NS NR L$ ,ID,4.6,E,Moscow,,
-116.216,48.97,Robinson Lake,NF,208.267.5561/208.765.7223, , ,10,2740,NH ND 32ft PT DW NS NR ,ID,19.8,N,Bonners Ferry,,
-114.5,42.566,Rock Creek Co Park,CP,208.734.9491, ,nice place to spend a few days,25,3609,WE ND NS ,ID,2,W,Twin Falls,,
-115.491,46.442,Rocky Ridge,NF,208.926.6400/208.476.8273, , ,5,5449,NH ND NS NR ,ID,15.1,E,Pierce,,
-116.569,48.635,Roman Nose,NF,208.267.5561/208.765.7223, , ,7,5928,NH ND NS NR ,ID,9.2,NW,Naples,,
-116.636,48.166,Round Lake State Park,SP,208.263.3489,all year, , ,2119,E DP 24ft DW SH RS ,ID,4.8,SW,Sagle,,
-116.174,44.334,Sagehen Creek,NF,208.365.7000/208.373.4100, , ,15,5026,NH ND 30ft VT DW NS NR ,ID,14.2,SW,Cascade,,
-111.826,43.02,Sagehen Flat,BLM,208.478.6340, ,unknown facil,5,5912,NH ND 15ft NS NR N$ ,ID,27.7,NW,Soda Springs,,
-114.869,44.249,Salmon River,NF,208.727.5000/208.737.3200, , ,37,6152,NH ND 32ft NS NR ,ID,4.1,NE,Stanley,,
-116.288,48.219,Sam Owen,NF,208.263.5111/208.765.7223,mid may-mid sep, ,80,2195,E DP 30ft FT DW NS RS ,ID,2.2,SE,Hope,,
-116.894,46.92,Scenic Six Park,CP,208.875.1117, , ,22,2540,WES DP FT DW SH L$ ,ID,0.2,SE,Potltch,,
-114.267,42.323,Schipper,NF,208.678.0430/208.737.3200, , ,5,4623,NH ND NS NR ,ID,14.4,S ,Hansen,,
-115.977,42.947,Scout - C. J. Strike Area,UTIL, , , , ,2387,NH ND NS ,ID,10.1,NW,Bruneau,,
-112.359,42.692,Scout Mountain,NF,208.766.5900/208.557.5760,early jun-late oct, ,28,6539,NH ND 70ft VT DW NS RS L$ ,ID,13.2,S ,Pocatello,,
-115.296,46.04,Selway Falls,NF,/208.983.1950, , ,7,2513,NH ND NS NR ,ID,16.1,SE,Lowell,,
-116.516,45.348,Seven Devils,NF,541.426.4978/541.523.6391, , ,10,7598,NH ND NS NR ,ID,30.4,S ,White Bird,,
-116.393,47.325,Shadowy St. Joe,NF,208.245.2531/208.765.7223, , ,14,2165,NH ND 50ft VT DW NS NR ,ID,8,E,St. Maries,,
-116.085,43.783,Shafer Butte,NF,208.587.7961/208.373.4100,early jun-late sep, ,7,6640,NH ND 20ft VT DW NS RS PA ,ID,13,NE,Boise,,
-115.055,44.306,Sheep Trail,NF,208.727.5000/208.737.3200,early jun-mid sep, ,8,6585,NH ND NS RS ,ID,8.5,NW,Stanley,,
-115.533,45.237,Shiefer,NF,208.634.0400/208.634.0700, , ,5,2795,NR ,ID,7.2,E,Warren,,
-115.669,44.657,Shoreline,NF,208.382.7400/208.373.4100,mid may-mid sep, ,31,5276,NH ND 40ft VT DW NS RS ,ID,20.8,NE,Cascade,,
-116.3,45.415,Shorts Bar,BLM, ,all year, , ,1763,NH ND VT NW NS NR N$ ,ID,0.9,SE,Riggins,,
-113.895,45.098,Shoup Bridge,BLM,208.756.5400, ,unknown facil,5,4029,NH ND NS NR L$ ,ID,5.3,S ,Salmon,,
-116.731,43.015,Silver City,BLM, , , , ,6160,NR ,ID,16.6,SW,Murphy,,
-115.783,44.354,Silver Creek,NF,208.365.7000/208.373.4100,mid may-mid oct, ,5,4652,NH ND 30ft VT DW NS RS PA ,ID,17,SE,Cascade,,
-115.804,44.331,Silver Creek Plunge,NF,208.365.7000/208.373.4100, , ,50,4501,NR ,ID,17.4,SE,Cascade,,
-115.641,45.76,Six Mile,NF,208.842.2245/208.983.1950, , ,22,4006,NH ND NS NR ,ID,10.9,SW,Elk City,,
-116.46,44.972,Slaughter Gulch, , , , , ,4790,NH ND NS ,ID,10.9,N ,Fruitvale,,
-116.263,48.778,Smith Lake,NF,208.267.5561/208.765.7223, , ,7,3048,NH ND PT DW NS NR N$ ,ID,6.5,N,Bonners Ferry,,
-114.861,43.92,Smokey Bear,NF,208.727.5000/208.737.3200, , ,17,7041,NH ND NS NR ,ID,20.8,S ,Stanley,,
-113.294,44.703,Smokey Cubs,BLM, , ,unknown facil,8,6240,NH ND NS NR ,ID,3.5,NE,Leadore,,
-113.661,42.126,Smoky Mountain - Castle Rocks State Park,SP,208.824.5519, , ,38,6500,WE DP FT DW SH NR ,ID,2.3,NW,Almo,,
-114.917,44.131,Sockeye,NF,208.727.5000/208.737.3200, , ,24,6624,NH DP NS NR ,ID,6,S ,Stanley,,
-115.807,45.721,Sourdough Saddle,NF, , ,high clearance - 4WD,5,6087,NH ND NS NR ,ID,19.8,S ,Harpster,,
-115.963,45.826,South Fork,NF,208.983.1963/208.983.1950, , ,13,2461,NH ND NS NR ,ID,11.1,S ,Harpster,,
-115.701,44.653,South Fork Salmon River,NF,208.382.7400/208.373.4100, , ,14,5128,NH ND 40ft VT DW NS NR ,ID,19.3,NE,Cascade,,
-112.777,42.95,Sportsmans Park,CP,208.397.3000, , ,26,4374,E DP ,ID,12,N,American Falls,,
-116.152,45.426,Spring Bar,NF,208.839.2211/208.983.1950, , ,17,2602,NH ND NS NR L$ ,ID,7.9,E,Riggins,,
-114.255,45.391,Spring Creek,NF,208.865.2700/208.756.5100, , ,24,3402,NH ND NS NR ,ID,12.7,W,North Fork,,
-116.947,44.57,Spring Creek,NF,208.549.4200/208.634.0700,mid may-late oct, ,34,4882,NH ND NS RS ,ID,22.1,N,Weiser,,
-114.151,44.633,Spring Gulch,SP,208.879.5244, , ,10,4754,NH NR ,ID,6.5,SW,Ellis,,
-116.584,48.237,Springy Point,COE,208.437.3133,mid may-mid sep, , ,2142,NH DP SH RS PA ,ID,3.1,SW,Sandpoint,,
-115.347,47.038,Spruce Tree,NF,208.245.4517/208.765.7223, , ,9,3776,NH ND 50ft VT DW NS NR ,ID,26.1,SE,Avery,,
-111.448,42.113,St. Charles,NF,208.847.0375/208.557.5760,early jun-mid sep, ,6,6148,NH VT DW RS ,ID,3,W,Saint Charles,,
-117.061,48.767,Stagger Inn,NF, , , ,4,3200,NH ND VT NW NS NR ,ID,41.1,N ,Priest River,,
-115.061,44.249,Stanley Lake,NF,208.727.5000/208.737.3200, ,3 campgrounds, ,6558,NH DP NS NR ,ID,6.5,W,Stanley,,
-113.941,43.743,Star Hope,NF,208.588.3400/208.756.5100, , ,27,7923,NH ND NS NR ,ID,20.2,SW,Mackay,,
-115.508,46.633,Station Creek Camp,NF,208.476.8223/208.476.8273, , ,5,2369,NH ND NS NR ,ID,,,,,
-117.208,44.297,Steck,BLM,208.384.3433, , ,21,2198,NR ,ID,12.2,W,Weiser,,
-117.219,44.366,Steck Park,BLM, , ,2 campgrounds,50,2128,NH DP FT DW NS NR L$ ,ID,14.7,NW,Weiser,,
-114.259,42.28,Steer Basin,NF,208.678.0430/208.737.3200, , ,6,5144,NH ND NS NR ,ID,29.7,SW,Burley,,
-112.213,44.418,Stoddard Creek,NF,208.374.5422/208.557.5760,early jun-late aug, ,20,6306,NH ND 50ft VT DW NS RS PA L$ ,ID,16.7,N,Dubois,,
-112.972,42.355,Sublet Creek,NF,208.678.0430/208.737.3200, , ,8,6142,NR ,ID,15.9,S ,Rockland,,
-112.999,42.329,Sublett,NF,208.678.0430/208.737.3200, , ,11,5436,NH ND NS NR ,ID,42.9,E,Burley,,
-113.438,44.271,Summit Creek,NF,208.756.5400, , ,7,6414,NH NR ,ID,32.8,SE,May,,
-111.296,42.559,Summit View,NF,208.847.0375/208.557.5760,mid jun-mid oct, ,18,7238,NH ND 45ft VT DW NS RS PA ,ID,16.3,N,Montpelier,,
-114.909,44.176,Sunny Gulch,NF,208.727.5000/208.737.3200,early jun-mid sep, ,59,6447,NH ND NS RS PA ,ID,3.1,SE,Stanley,,
-116.374,43.234,Swan Falls - Idaho Power,UTIL, , , , ,2330,NH ND VT NW NS N$ ,ID,18,S ,Kuna,,
-116.121,44.173,Swinging Bridge,NF,208.365.7000/208.373.4100,early jun-late aug,very nice campground 7/11,11,3694,NH ND 30ft VT NW NS RS ,ID,18.2,N,Horseshoe Bend,,
-115.513,45.935,Table Meadows,NF,208.842.2245/208.983.1950, , ,6,4954,NH ND NS NR ,ID,8.3,NW,Elk City,,
-111.589,43.631,Tablerock,NF,208.523.1412/208.557.5760,early jun-late aug, ,30,5768,NH RS ,ID,9.2,E,Ririe,,
-115.775,47.295,Telichpah,NF,208.245.4517/208.765.7223, , ,7,2736,NH ND NS NR ,ID,3.4,NE,Avery,,
-115.71,43.898,Ten Mile,NF,208.392.6681/208.373.4100, , ,16,4928,NH ND VT DW NS NR ,ID,7.8,NE,Idaho City,,
-110.919,43.756,Teton Canyon,NF, ,mid may-mid sep, ,22,6969,NH ND 50ft VT DW NS NR L$ ,ID,9.9,E,Driggs,,
-115.145,44.368,Thatcher C/G,NF,208.849.4101/208.756.5100, , ,5,6604,NH ND NS NR ,ID,14.6,NW,Stanley,,
-117.787,45.025,Thief Valley Reservoir,CP,208.378.5021, ,windy, ,3146,,ID,,,,,
-113.621,42.329,Thompson Flat,NF,208.678.0430,early jul-late sep, , ,8068,NH ND NS RS ,ID,6.2,S ,Albion,,
-114.596,43.193,Thorn Creek Reservoir Dispersed,BLM,208.886.2206, ,dispersed, ,5600,NH ND VT NW NS NR ,ID,20.2,NW,Shoshone,,
-115.318,42.945,Three Island Crossing State Park,SP,208.366.2394,all year,2 campgrounds, ,2556,WES DP 65ft SH RS ,ID,1.1,SW,Glenns Ferry,,
-115.925,44.209,Tie Creek,NF,208.365.7000/208.373.4100, , ,8,3133,30ft VT DW NR ,ID,6.9,N,Crouch,,
-113.408,44.396,Timber Creek,NF,208.588.3400/208.756.5100, , ,12,7280,NH ND NS NR ,ID,19.8,S ,Leadore,,
-113.47,44.577,Timber Creek Reservoir -  Upper,NF,208.768.2500/208.756.5100, , ,7,7664,NH ND NS NR ,ID,46.3,N,Mackay,,
-115.62,47.23,Tin Can Flat,NF,208.245.4517/208.765.7223, , ,11,2838,NH ND 50ft VT DW NS NR ,ID,8.8,E,Avery,,
-114.813,44.597,Tin Cup,NF,208.849.4101/208.756.5100, , ,15,5417,NR ,ID,27,N,Stanley,,
-111.103,43.005,Tincup,NF,208.547.4356/208.557.5760, , ,5,5853,VT NW NR ,ID,3.3,NW,Freedom,,
-113.904,45.323,Tower Rock,BLM, , , ,6,3822,NH ND NS NR ,ID,10.2,N ,Salmon,,
-115.875,44.276,Trail Creek,NF,208.365.7000/208.373.4100, , ,11,3737,NH ND 30ft VT DW NS NR ,ID,12.1,NE,Crouch,,
-111.911,43.13,Trail Creek,BLM, , , ,6,5527,NH ND NS NR ,ID,18.3,SE,Firth,,
-111.037,43.539,Trail Creek  - Victor,NF, , , ,11,6752,50ft VT DW NR ,ID,,,,,
-112.873,42.776,Trenner Park - Idaho Power,UTIL, , , , ,4267,NH ND VT NW NS N$ ,ID,1.2,SW,American Falls,,
-115.556,44.746,Trout Creek,NF,208.382.7400/208.373.4100, , ,8,6375,NH ND 30ft VT DW NS NR ,ID,6.2,N ,Landmark,,
-115.625,43.716,Troutdale,NF, , , ,5,3543,NH ND 20ft VT NW NS NR ,ID,30.2,E,Boise,,
-115.653,47.237,Turner Flat,NF,208.245.4517/208.765.7223, , ,10,2743,NH ND 50ft VT DW NS NR ,ID,7.2,E,Avery,,
-111.765,43.673,Twin Bridges Co Park,CP, , , , ,4948,NH ND NS L$ ,ID,10.4,S ,Rexburg,,
-113.968,45.608,Twin Creek,NF,208.865.2700/208.756.5100, , ,46,5197,NH ND 22ft NS NR ,ID,4.2,NW,Gibbonsville,,
-112.764,42.264,Twin Springs,NF,208.766.5900/208.557.5760, , ,11,5174,NH ND NS NR N$ ,ID,9,NW,Holbrook,,
-111.366,44.491,Upper Coffee Pot,NF,208.558.7301/208.557.5760,mid may-late sep, ,14,6391,E ND 45ft VT DW NS RS ,ID,4.6,N,Island Park,,
-114.698,44.259,Upper Obrien,NF,208.727.5000/208.737.3200, , ,11,5866,NH ND NS NR ,ID,14.7,W,Clayton,,
-116.027,45.126,Upper Payette Lake,NF,208.634.0400/208.634.0700,early jun-late oct, ,42,5577,NH ND NS RS PA ,ID,15.3,N,McCall,,
-114.285,42.194,Upper Penstemon,NF,208.678.0430/208.737.3200, , ,10,6663,NH ND NS NR ,ID,34.5,SW,Burley,,
-114.005,45.247,Wallace Lake,NF,208.756.5100/208.756.5100, , ,12,8159,NH ND NS NR ,ID,7.2,NW,Salmon,,
-115.657,44.651,Warm Lake,NF,208.382.7400/208.373.4100,mid may-mid sep, ,12,5390,NH ND 30ft VT NW NS RS ,ID,21.1,NE,Cascade,,
-111.312,44.12,Warm River,NF,208.558.7301/208.557.5760,mid may-late sep, ,28,5335,NH ND 45ft VT DW NS RS ,ID,7.6,NE,Ashton,,
-115.556,46.702,Washington Creek,NF,208.476.8223/208.476.8273, , ,26,2100,NH ND NS NR ,ID,18.6,NE,Pierce,,
-115.431,46.635,Weitas,NF,208.476.8223/208.476.8273, , ,6,2362,NH ND NS NR ,ID,36.9,E,Elk River,,
-114.784,46.51,Wendover,NF,208.942.0307/208.476.8273, , ,32,3684,NH ND 32ft NS NR ,ID,46.3,NE,Lowell,,
-111.529,44.372,West End,NF,208.558.7301/208.557.5760,mid may-mid sep, ,19,6335,NH ND 35ft VT NW NS NR ,ID,8.6,SW,Island Park,,
-116.456,48.05,Whiskey Rock Bay,NF,208.263.5111/208.765.7223, , ,9,2182,NH ND 16ft PT DW NS NR ,ID,14.5,SW,Clark Fork,,
-114.687,46.507,White Sand,NF,208.942.0307/208.476.8273, , ,6,3800,NH ND NS NR ,ID,33.5,SW,Lolo,,
-114.774,46.507,Whitehouse,NF,208.942.0307/208.476.8273, , ,11,3317,NH ND NS NR ,ID,46.5,NE,Lowell,,
-115.622,46.136,Wild Goose,NF,208.926.6400/208.476.8273, , ,8,1594,NH ND NS NR ,ID,1.4,SW,Lowell,,
